speaker_id,dialogue_count,average_sentiment,entities,count
u0,98,0.03575816326530613,[],75
u0,98,0.03575816326530613,"[('Joey', 'PERSON')]",3
u0,98,0.03575816326530613,"[('Cameron', 'PERSON')]",2
u0,98,0.03575816326530613,"[(""Bogey Lowenstein's"", 'ORG'), ('Bitches Who Need Prozac', 'PERSON')]",1
u0,98,0.03575816326530613,"[(""Bogey Lowenstein's"", 'ORG'), ('Saturday night', 'TIME')]",1
u1,3,0.10606666666666666,[],2
u1,3,0.10606666666666666,"[('Gigglepuss', 'PERSON')]",1
u10,9,0.1553888888888889,[],7
u10,9,0.1553888888888889,"[('British', 'NORP')]",1
u10,9,0.1553888888888889,"[('Ruth', 'PERSON')]",1
u100,34,-0.059711764705882346,[],27
u100,34,-0.059711764705882346,"[('Tom', 'PERSON')]",3
u100,34,-0.059711764705882346,"[('Betty', 'ORG'), ('next week', 'DATE')]",1
u100,34,-0.059711764705882346,"[('Tom...', 'PERSON')]",1
u100,34,-0.059711764705882346,"[('this weekend', 'DATE')]",1
u101,4,-0.072125,[],3
u101,4,-0.072125,"[('five', 'CARDINAL'), ('one', 'CARDINAL')]",1
u102,7,-0.24304285714285712,[],5
u102,7,-0.24304285714285712,"[('Bullshit', 'PERSON')]",1
u102,7,-0.24304285714285712,"[('Machine', 'ORG')]",1
u103,34,0.029647058823529412,[],23
u103,34,0.029647058823529412,"[('Brooklyn', 'GPE')]",1
u103,34,0.029647058823529412,"[('Fifteen thousand dollars', 'MONEY')]",1
u103,34,0.029647058823529412,"[('First', 'ORDINAL'), ('first', 'ORDINAL'), ('Welles', 'PERSON')]",1
u103,34,0.029647058823529412,"[('Handcuff', 'GPE')]",1
u104,12,0.115825,[],7
u104,12,0.115825,"[('N.C.I.C.', 'GPE'), ('N.C.M.E.C.', 'GPE')]",1
u104,12,0.115825,"[('Tom', 'PERSON')]",1
u104,12,0.115825,"[('Welles', 'PERSON')]",1
u104,12,0.115825,"[('a few days', 'DATE')]",1
u105,51,-0.1340921568627451,[],46
u105,51,-0.1340921568627451,"[('Celebrity Films', 'PERSON')]",1
u105,51,-0.1340921568627451,"[('Dino', 'PERSON')]",1
u105,51,-0.1340921568627451,"[('Thirty thousand', 'CARDINAL')]",1
u105,51,-0.1340921568627451,"[('two seconds ago', 'TIME')]",1
u106,21,0.05436190476190477,[],15
u106,21,0.05436190476190477,"[('Christian', 'PERSON')]",4
u106,21,0.05436190476190477,"[('Christian', 'PERSON'), ('one', 'CARDINAL')]",1
u106,21,0.05436190476190477,"[('six years ago', 'DATE')]",1
u107,3,-0.6587,"[('Eddie', 'PERSON')]",1
u107,3,-0.6587,"[('three', 'CARDINAL'), ('last month', 'DATE')]",1
u107,3,-0.6587,[],1
u108,54,0.01442407407407408,[],33
u108,54,0.01442407407407408,"[('tonight', 'TIME')]",3
u108,54,0.01442407407407408,"[('Choke', 'PRODUCT')]",1
u108,54,0.01442407407407408,"[('Dino Velvet', 'PERSON'), ('the John Luc Godard', 'FAC'), ('S+M', 'ORG')]",1
u108,54,0.01442407407407408,"[('First', 'ORDINAL'), ('tonight', 'TIME'), ('two', 'CARDINAL'), ('Interstate', 'ORG'), ('Revolving P.O.', 'ORG')]",1
u109,41,-0.015241463414634141,[],28
u109,41,-0.015241463414634141,"[('Welles', 'PERSON')]",4
u109,41,-0.015241463414634141,"[('Exactly one million dollars', 'MONEY')]",1
u109,41,-0.015241463414634141,"[('Harrisburg', 'GPE'), ('Lancaster', 'GPE'), ('Hershey', 'GPE')]",1
u109,41,-0.015241463414634141,"[('Longdale', 'PERSON')]",1
